Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Internal_Marks,Final_Marks
S001,4.37,84.91,50.18,71.14,54.39,60.53
S002,9.56,76.8,69.8,68.75,53.58,76.88
S003,7.59,65.48,88.01,41.54,89.84,78.41
S004,6.39,90.69,80.27,60.47,53.73,71.33
S005,2.4,84.24,84.36,62.81,54.96,60.43
S006,2.4,58.13,76.23,63.93,81.77,58.84
S007,1.52,95.55,78.08,74.81,64.74,62.08
S008,8.8,91.13,86.71,72.02,82.72,90.17
S009,6.41,97.49,53.73,76.47,43.6,67.7
S010,7.37,86.29,66.92,85.89,66.82,62.61
S011,1.19,80.67,52.17,88.78,41.85,52.01
S012,9.73,70.91,94.32,83.09,43.45,79.86
S013,8.49,96.64,91.92,97.33,89.85,91.17
S014,2.91,93.3,42.17,41.09,47.66,48.57
S015,2.64,52.26,78.81,51.75,69.28,60.27
S016,2.65,51.32,90.89,40.45,62.61,59.97
S017,3.74,68.82,49.93,78.85,59.1,52.21
S018,5.72,90.53,71.24,93.88,89.49,79.14
S019,4.89,99.36,90.35,54.61,41.2,64.49
S020,3.62,57.52,41.87,95.62,76.51,50.37
S021,6.51,79.71,78.36,43.62,92.99,72.25
S022,2.26,69.04,56.35,96.07,70.81,60.75
S023,3.63,98.5,90.84,61.1,91.53,79.71
S024,4.3,92.11,93.41,46.09,42.87,67.75
S025,5.1,91.92,91.93,69.15,63.03,76.55
S026,8.07,73.43,66.08,55.41,54.31,69.84
S027,2.8,70.74,87.41,57.09,80.2,62.18
S028,5.63,63.67,86.45,58.44,93.97,74.78
S029,6.33,52.82,57.55,88.18,54.11,63.62
S030,1.42,93.24,85.59,72.35,75.98,69.04
S031,6.47,90.65,42.04,58.68,50.9,65.61
S032,2.53,99.99,72.79,76.62,71.09,69.25
S033,1.59,99.83,52.65,82.97,65.52,59.9
S034,9.54,77.77,46.63,56.36,93.46,79.67
S035,9.69,88.45,44.23,64.81,73.47,74.04
S036,8.28,97.24,78.3,47.31,59.22,72.76
S037,3.74,92.48,58.69,50.87,46.28,56.21
S038,1.88,62.37,79.86,80.87,48.32,51.91
S039,7.16,72.53,43.59,50.89,52.39,56.17
S040,4.96,56.46,57.34,71.51,53.8,55.36
S041,2.1,97.7,69.67,82.54,86.78,64.65
S042,5.46,80.31,83.49,46.41,70.87,68.16
S043,1.31,61.43,57.53,74.04,68.79,43.53
S044,9.18,83.59,74.42,55.39,46.31,73.94
S045,3.33,80.91,88.73,97.78,87.31,73.93
S046,6.96,67.91,73.87,69.01,79.75,69.04
S047,3.81,55.68,52.81,88.36,43.72,54.07
S048,5.68,83.58,41.34,73.01,78.93,68.09
S049,5.92,76.02,87.86,42.6,69.89,63.78
S050,2.66,88.62,41.17,77.99,44.49,48.32
S051,9.73,76.01,88.11,97.08,65.21,81.22
S052,7.98,92.61,69.09,76.1,66.66,72.92
